date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:52	7927/7927	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/144/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/144/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:52	7854/7854	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/145/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/145/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:53	7664/7664	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/162/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/162/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:53	7691/7691	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/163/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/163/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:53	7705/7705	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/165/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/165/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:54	7518/7518	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/166/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/166/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:54	8653/8653	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/167/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/167/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:55	9183/9183	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/171/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/171/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:55	7628/7628	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/172/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/172/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:56	8448/8448	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/181/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/181/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:56	7855/7855	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/191/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/191/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:57	7619/7619	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/192/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/192/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:57	7616/7616	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/193/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/193/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:58	8541/8541	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/201/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/201/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:58	7616/7616	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/202/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/202/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:45:59	7415/7415	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C/011/1.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C/011/1.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/C.html)
10:45:59	6218/6218	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C/011/2.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C/011/2.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/C.html)
10:46:00	9332/9332	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/1.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/1.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:00	9381/9381	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/2.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/2.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:01	9375/9375	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/3.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/3.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:01	9395/9395	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/4.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/4.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:02	9373/9373	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/5.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/5.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:02	9488/9488	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/6.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/6.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:03	9339/9339	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/7.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/7.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:03	9466/9466	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/8.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/8.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:04	9409/9409	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/9.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/9.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:04	9417/9417	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/10.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/10.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:05	9360/9360	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/11.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/11.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:05	9441/9441	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/12.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/12.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
